t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field,v5_mpc_base2_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed,v5_mpc_base3_field_smoothed,v5_mpc_base4_field_smoothed,a5_mpc_base3_field_smoothed,Y5_mpc_base3_field_smoothed,a5_mpc_base4_field_smoothed,Y5_mpc_base4_field_smoothed,a6_idm,v6_idm,Y6_idm,a6_mpc_base4,v6_mpc_base4,Y6_mpc_base4,a6_mpc_base3,v6_mpc_base3,Y6_mpc_base3,a6_mpc_base2,v6_mpc_base2,Y6_mpc_base2
1,1,71.4188,6.0389,-0.2178,11,54.2232,5.8148,-0.2664,24,37.1641,6.7046,-0.3977,44,25.7297,6.8364,-0.5836,55,14.6149,6.8103,0.108,54,6.1529,6.4045,0.3682,-1.387404989,-0.5836,6.77717,26.367383,-0.558745916,6.288241361,15.03766888,-0.305851546,6.918206628,15.42066023,6.4,6.4,0,15.50916,6.795921208,6.34,-0.251699585,16.024041,-0.1,15.45816,-0.418837745,5.293654152,5.56162529,0.088924296,6.010600832,5.956608435,0.241637473,6.236760511,6.081832356,0.112545452,6.031378554,5.967665251
1.1,1,72.0216,6.0171,-0.1951,11,54.8033,5.7877,-0.3167,24,37.8326,6.6639,-0.4211,44,26.4104,6.7779,-0.5397,55,15.2965,6.8226,0.187,54,6.7952,6.4414,0.3412,-1.324800309,-0.5397,6.7232,27.039703,-0.520480314,6.23236677,15.66090555,-0.320837548,6.887621474,16.10942238,6.4,6.4,-0.111111111,16.14916,6.77075125,6.33,-0.251699585,16.70111613,-0.1,16.09116,-0.375427967,5.256111355,6.089113565,0.082670339,6.018867866,6.55808187,0.219432336,6.258703744,6.706605568,0.110417283,6.042420282,6.571355193
1.2,1,72.6223,5.9971,-0.1922,11,55.3805,5.7569,-0.3444,24,38.4968,6.6207,-0.4489,44,27.0854,6.7232,-0.5292,55,15.9796,6.8387,0.1966,54,7.441,6.4754,0.3182,-1.271076106,-0.5292,6.67028,27.706731,-0.484866365,6.180318738,16.27893743,-0.333814478,6.855537719,16.79497615,6.4,6.388888889,-0.111111111,16.78804889,6.745581291,6.32,-0.251699585,17.37567425,-0.1,16.72316,-0.332173848,5.22289397,6.613063832,0.076573706,6.026525236,7.160351525,0.198051053,6.27850885,7.333466198,0.102167407,6.052637023,7.176108058
1.3,1,73.2211,5.9777,-0.1922,11,55.9546,5.7241,-0.3312,24,39.1566,6.5755,-0.4604,44,27.7551,6.6707,-0.5139,55,16.6642,6.8536,0.1214,54,8.0901,6.5073,0.3,-1.224766536,-0.5139,6.61889,28.36862,-0.451754079,6.131832102,16.89212064,-0.345495678,6.822156271,17.47719178,6.4,6.377777778,-0.111111111,17.42582667,6.720411333,6.31,-0.316894078,18.04771539,-0.1,17.35416,-0.289362274,5.193957743,7.133906417,0.070635483,6.033588784,7.763357226,0.177490469,6.296257896,7.962204535,0.094186649,6.062055688,7.781842694
1.4,1,73.8178,5.9581,-0.1953,11,56.5253,5.6902,-0.3411,24,39.8119,6.5318,-0.3156,44,28.4196,6.6193,-0.5088,55,17.3501,6.8654,0.0913,54,8.7424,6.5375,0.284,-1.183123074,-0.5088,6.56801,29.025421,-0.420930578,6.086656694,17.50078631,-0.356024662,6.787606703,18.15595245,6.4,6.366666667,-0.111111111,18.06249333,6.688721925,6.3,-0.382088571,18.71658758,-0.2,17.98416,-0.247236232,5.16923412,7.65206601,0.064856113,6.040074396,8.367040385,0.157743611,6.312032258,8.592619043,0.086471036,6.070702791,8.388480618
1.5,1,74.4127,5.9385,-0.1911,11,57.0926,5.6554,-0.3458,24,40.4633,6.4958,-0.2315,44,29.079,6.5681,-0.5092,55,18.0371,6.8745,0.0726,54,9.3975,6.5657,0.24,-1.142005759,-0.5092,6.51709,29.67713,-0.391809334,6.044563636,18.10524267,-0.364249637,6.752004237,18.83115287,6.4,6.355555556,-0.111111111,18.69804889,6.650513068,6.28,-0.447283064,19.38163889,-0.2,18.61216,-0.201283131,5.149105807,8.167983007,0.053689539,6.04544335,8.971316273,0.13880011,6.325912269,9.224516269,0.07901606,6.078604397,8.995945977
1.6,1,75.0056,5.92,-0.1551,11,57.6564,5.621,-0.3362,24,41.1117,6.4723,-0.1248,44,29.7333,6.5171,-0.4859,55,18.725,6.8819,0.0609,54,10.0554,6.5915,0.2139,-1.095548214,-0.4859,6.4685,30.32398,-0.36374336,6.005382703,18.70578094,-0.368663646,6.715579273,19.5027108,6.4,6.344444444,-0.111111111,19.33249333,6.605784762,6.26,-0.447283064,20.04221736,-0.2,19.23816,-0.156949189,5.133410888,8.682108841,0.042970797,6.049740429,9.576075462,0.110341022,6.336946371,9.857659201,0.071816757,6.085786073,9.604165501
1.7,1,75.5968,5.9037,-0.131,11,58.2169,5.5887,-0.251,24,41.7584,6.4619,-0.0338,44,30.3825,6.4675,-0.464,55,19.4135,6.8882,0.0511,54,10.7157,6.6141,0.185,-1.040289332,-0.464,6.4221,30.96619,-0.336467357,5.969008367,19.30268178,-0.369276394,6.678712909,20.17058209,6.4,6.333333333,-0.111111111,19.96582667,6.561056455,6.24,-0.447283064,20.69832301,-0.2,19.86216,-0.114316774,5.12197921,9.194878346,0.032686599,6.053009089,10.18121294,0.083035774,6.345249948,10.49176902,0.064867776,6.092272851,10.21306845
1.8,1,76.1865,5.8905,-0.101,11,58.7744,5.5613,-0.2001,24,42.4046,6.4612,0.0303,44,31.0269,6.4212,-0.4234,55,20.1026,6.8938,0.0471,54,11.378,6.6327,0.1431,-0.9773766,-0.4234,6.37976,31.604166,-0.309555595,5.935361631,19.89621794,-0.365635955,6.641785269,20.83476062,6.4,6.322222222,-0.111111111,20.59804889,6.516328149,6.22,-0.363383203,21.34995582,-0.2,20.48416,-0.073434951,5.114635715,9.706709093,0.022823324,6.055291422,10.78662796,0.056876107,6.350937559,11.12657839,0.058163454,6.098089196,10.82258655
1.9,1,76.7751,5.8808,-0.0693,11,59.3295,5.5409,-0.135,24,43.0509,6.4658,0.0581,44,31.6669,6.3794,-0.3768,55,20.7922,6.899,0.0439,54,12.0418,6.6439,0.0847,-0.911747237,-0.3768,6.34208,32.238374,-0.283320172,5.904406071,20.48665855,-0.358300917,6.605221674,21.49528278,6.4,6.311111111,-0.222222222,21.22916,6.479989829,6.2,-0.279483341,21.99795481,-0.2,21.10416,-0.034324994,5.111203216,10.21800104,0.01336714,6.056628136,11.39222394,0.031847691,6.354122328,11.76183139,0.051697869,6.103258983,11.43265396
2,1,77.3628,5.8744,-0.0519,11,59.883,5.5285,-0.0697,24,43.6978,6.4717,0.0547,44,32.303,6.3421,-0.3389,55,21.4823,6.9034,0.033,54,12.7062,6.6433,-0.1002,-0.848020859,-0.3389,6.30819,32.869193,-0.257746545,5.876074054,21.07426595,-0.348610943,6.569391582,22.15222194,6.3,6.288888889,-0.111111111,21.85804889,6.452041494,6.18,-0.195583479,22.64315896,-0.15,21.72216,0.003014564,5.111504672,10.72913643,0.004304097,6.057058545,11.99790828,0.007930915,6.354915419,12.39728327,0.039326049,6.107191588,12.04317649
2.1,1,77.9501,5.8701,-0.0384,11,60.4355,5.5231,-0.1306,24,44.3452,6.4766,0.0399,44,32.9355,6.3083,-0.3105,55,22.1728,6.9057,0.0122,54,13.3699,6.6303,-0.2485,-0.788702564,-0.3105,6.27714,33.496907,-0.233297955,5.8502994,21.65929589,-0.337287385,6.534530488,22.80567499,6.3,6.277777778,-0.111111111,22.48582667,6.432483146,6.165,-0.195583479,23.28640727,-0.15,22.33866,0.036556502,5.115160322,11.24046968,-0.001557119,6.056902834,12.60360634,-0.0009668,6.354818739,13.03276998,0.033657678,6.110557356,12.65406393
2.2,1,78.5369,5.8661,-0.0472,11,60.9878,5.5226,0.0709,24,44.993,6.4795,0.027,44,33.5648,6.2771,-0.2885,55,22.8633,6.9049,-0.0344,54,14.0319,6.6096,-0.3067,-0.733916442,-0.2885,6.24829,34.121736,-0.2102174,5.826969604,22.24199285,-0.325223624,6.500801749,23.45575516,6.3,6.266666667,-0.111111111,23.11249333,6.412924799,6.15,-0.195583479,23.92769975,-0.15,22.95366,0.068589585,5.122019281,11.75232866,-0.007205721,6.056182261,13.2092606,-0.009461988,6.353872541,13.66820455,0.028191721,6.113376528,13.26526063
2.3,1,79.1232,5.8607,-0.0669,11,61.5402,5.5246,0.1595,24,45.641,6.4795,-0.0283,44,34.1911,6.2482,-0.2675,55,23.5536,6.9009,-0.07,54,14.6917,6.5869,-0.2328,-0.683153792,-0.2675,6.22154,34.74389,-0.188534585,5.805947864,22.82258764,-0.312795524,6.468279387,24.1025831,6.3,6.255555556,-0.111111111,23.73804889,6.393366451,6.135,-0.195583479,24.5670364,-0.15,23.56716,0.099139937,5.131933275,12.26502629,-0.012648355,6.054917426,13.81481558,-0.017571977,6.352115343,14.30350394,0.022922448,6.115668772,13.87671289
2.4,1,79.7089,5.8539,0.127,11,62.0939,5.5502,0.2149,24,46.2887,6.4753,-0.0992,44,34.8146,6.2215,-0.2459,55,24.2434,6.8949,-0.0864,54,15.3493,6.5641,-0.2364,-0.636599479,-0.2459,6.19695,35.363585,-0.167997354,5.787094406,23.40129708,-0.300171462,6.436999835,24.74628309,6.3,6.244444444,-0.111111111,24.36249333,6.373808103,6.12,-0.236443851,25.20441721,-0.15,24.17916,0.128242524,5.144757527,12.77886083,-0.017891633,6.053128263,14.42021787,-0.025313698,6.349583973,14.93858891,0.017844088,6.117453181,14.48836899
2.5,1,80.294,5.8477,0.0921,11,62.6492,5.5546,0.0518,24,46.9358,6.4662,-0.1795,44,35.4355,6.1972,-0.2224,55,24.9325,6.8879,-0.0826,54,16.0045,6.54,-0.2597,-0.595037769,-0.2224,6.17471,35.981056,-0.148498892,5.77029467,23.97832655,-0.287207506,6.406982688,25.38698136,6.3,6.233333333,-0.333333333,24.98582667,6.350163718,6.105,-0.277304223,25.83943358,-0.25,24.78966,0.155938947,5.160351422,13.29411628,-0.022942105,6.050834052,15.02541598,-0.03270364,6.346313609,15.57338379,0.012950856,6.118748267,15.10017906
2.6,1,80.8787,5.8452,-0.004,11,63.2049,5.5603,0.0652,24,47.5817,6.4515,-0.1874,44,36.0541,6.1753,-0.2011,55,25.6209,6.88,-0.0955,54,16.6571,6.5137,-0.2817,-0.559148149,-0.2011,6.1546,36.596516,-0.130007591,5.755444781,24.55387103,-0.274384106,6.378261938,26.02480755,6.3,6.2,-0.333333333,25.60582667,6.322433295,6.08,-0.318164594,26.47167691,-0.25,25.39766,0.186049419,5.178956364,13.81108167,-0.033493122,6.04748474,15.63033192,-0.039757814,6.342337828,16.20781636,-0.004177136,6.118330553,15.712033
2.7,1,81.4634,5.8493,-0.1404,11,63.7613,5.567,0.0743,24,48.2258,6.4307,-0.2561,44,36.6706,6.1551,-0.1875,55,26.3084,6.8704,-0.1202,54,17.3071,6.4858,-0.2855,-0.529497827,-0.1875,6.13585,37.210101,-0.112514803,5.742444022,25.12811543,-0.261767881,6.350823527,26.6598899,6.3,6.166666667,-0.333333333,26.22249333,6.290616836,6.055,-0.318164594,27.10073859,-0.25,26.00316,0.214528378,5.200409201,14.33004995,-0.043557278,6.043129012,16.23486261,-0.053371792,6.337000648,16.84178328,-0.020505391,6.116280014,16.32376353
2.8,1,82.0489,5.8614,0.1809,11,64.3183,5.5743,0.0768,24,48.8675,6.4033,-0.3261,44,37.2852,6.1359,-0.1848,55,26.9949,6.8581,-0.157,54,17.9543,6.458,-0.2721,-0.505634646,-0.1848,6.11737,37.821838,-0.095907191,5.731192542,25.70123468,-0.249616172,6.324646739,27.29235458,6.2,6.133333333,-0.222222222,26.83582667,6.258800376,6.03,-0.252970101,27.72661863,-0.2,26.60616,0.241458366,5.224555038,14.85129816,-0.053154962,6.037813516,16.83890974,-0.066319964,6.330368652,17.47515175,-0.03606115,6.112673899,16.93521123
2.9,1,82.6361,5.8816,0.2679,11,64.8761,5.5814,0.0452,24,49.5061,6.3695,-0.3923,44,37.8978,6.1168,-0.1854,55,27.6799,6.8424,-0.1909,54,18.5988,6.4324,-0.2431,-0.487139539,-0.1854,6.09883,38.431721,-0.079735341,5.721601823,26.27339486,-0.236687589,6.299685122,27.92232309,6.2,6.111111111,-0.222222222,27.44693778,6.233503366,6.01,-0.187775608,28.34996896,-0.2,27.20716,0.265103959,5.251065434,15.37507918,-0.059431908,6.031870325,17.44239393,-0.078631532,6.322505499,18.10779545,-0.044546523,6.108219247,17.54625589
3,1,83.2256,5.9091,0.3456,11,65.4346,5.5874,0.0346,24,50.1414,6.3353,-0.402,44,38.5086,6.0979,-0.1821,55,28.3632,6.823,-0.229,54,19.2409,6.4082,-0.2424,-0.472909631,-0.159792721,6.082850728,39.04000607,-0.063550102,5.713628289,26.84475769,-0.222435186,6.276016363,28.54992472,6.2,6.088888889,-0.222222222,28.05582667,6.214725806,5.99,-0.176556027,28.97144155,-0.2,27.80616,0.287495321,5.279814966,15.9016232,-0.065439073,6.025326418,18.04525377,-0.090335379,6.313471961,18.73959433,-0.052640247,6.102955222,18.15681461
3.1,1,83.8182,5.943,0.4099,11,65.9935,5.5913,0.0183,24,50.7728,6.2925,-0.4194,44,39.1174,6.0799,-0.1684,55,29.0443,6.8002,-0.2638,54,19.8803,6.3815,-0.3173,-0.459778196,-0.107970923,6.072053636,39.64721144,-0.047883154,5.707273278,27.41548502,-0.207669022,6.253772844,29.17530201,6.2,6.066666667,-0.222222222,28.66249333,6.197070203,5.97,-0.23053094,29.59114857,-0.2,28.40316,0.308695556,5.310684522,16.43114818,-0.071188243,6.018207594,18.64743047,-0.090282898,6.304443671,19.37049011,-0.060359858,6.096919236,18.76680833
3.2,1,84.4145,5.9819,0.4237,11,66.5527,5.5925,-0.0018,24,51.3999,6.2503,-0.3888,44,39.7246,6.0638,-0.1244,55,29.723,6.7741,-0.3018,54,20.5168,6.3481,-0.4078,-0.453238397,-0.106369138,6.061416722,40.25335311,-0.032185559,5.702484963,27.98573352,-0.191265953,6.233005942,29.7986026,6.2,6.044444444,-0.222222222,29.26693778,6.174017109,5.95,-0.284505853,30.20855028,-0.2,28.99816,0.328765652,5.343561087,16.96386046,-0.076690806,6.010538513,19.24886777,-0.090315465,6.295412125,20.0004829,-0.0677224,6.090146996,19.37616164
3.3,1,85.0148,6.0242,0.4528,11,67.1119,5.5911,-0.0314,24,52.0231,6.213,-0.3247,44,40.3303,6.0505,-0.0975,55,30.3989,6.7438,-0.3528,54,21.1496,6.3067,-0.4933,-0.449623283,-0.067054957,6.054711226,40.85882423,-0.017122422,5.699266407,28.55566016,-0.174504803,6.213879347,30.41999054,6.2,6.022222222,-0.222222222,29.86916,6.145566524,5.93,-0.284505853,30.82310693,-0.2,29.59116,0.347764158,5.378337503,17.49995539,-0.081957742,6.002342739,19.84951183,-0.099674343,6.28544469,20.62952574,-0.074744397,6.082672557,19.98480262
3.4,1,85.6194,6.0692,0.4771,11,67.6708,5.5879,-0.0425,24,52.6428,6.1818,-0.2947,44,40.9349,6.0407,-0.0667,55,31.0715,6.7079,-0.4236,54,21.7778,6.2581,-0.563,-0.447520225,-0.067805052,6.047930721,41.4636173,-0.002800671,5.697554165,29.12541557,-0.157841333,6.196428866,31.03963342,6,6,0,30.46916,6.117115938,5.91,-0.284505853,31.43481852,-0.1,30.18216,0.365746963,5.414912199,18.03961787,-0.086999619,5.993642777,20.44931111,-0.108571772,6.274587513,21.25752735,-0.081441823,6.074528374,20.59266267
3.5,1,86.2287,6.1168,0.5079,11,68.2294,5.5842,-0.0437,24,53.2596,6.1533,-0.2941,44,41.5387,6.0345,-0.037,55,31.7401,6.6647,-0.5132,54,22.4009,6.2034,-0.5767,-0.447123459,-0.034522325,6.044478488,42.06806515,0.010028926,5.697274098,29.69514298,-0.142727323,6.180644733,31.6576979,6,6,0,31.06916,6.088665353,5.9,-0.284505853,32.04368506,-0.1,30.77216,0.379271976,5.452839396,18.58300545,-0.086021948,5.985040582,21.04824528,-0.117030976,6.262884415,21.88440095,-0.075026208,6.067025754,21.19974037
3.6,1,86.843,6.168,0.5562,11,68.7876,5.58,-0.0544,24,53.8734,6.1228,-0.3363,44,42.142,6.0312,-0.0299,55,32.404,6.613,-0.605,54,23.0183,6.144,-0.6096,-0.450309608,-0.014385819,6.043039906,42.67236914,0.021447604,5.69827699,30.26497068,-0.129710881,6.166372001,32.2743351,6,6,-0.222222222,31.66916,6.060214768,5.89,-0.284505853,32.64970653,-0.1,31.36116,0.392064675,5.492045864,19.13024971,-0.085182705,5.976522312,21.64632342,-0.125074336,6.250376982,22.51006402,-0.069090469,6.060116707,21.8060975
3.7,1,87.4626,6.2241,0.6131,11,69.3453,5.5738,-0.0838,24,54.4839,6.0884,-0.374,44,42.745,6.0288,-0.0365,55,33.0624,6.5543,-0.5845,54,23.6296,6.0836,-0.5992,-0.458975238,-0.020693332,6.040970573,43.2764662,0.030812905,5.700421751,30.83501286,-0.120485899,6.153400913,32.88967519,6,5.977777778,-0.222222222,32.26693778,6.031764182,5.88,-0.284505853,33.25288295,-0.1,31.94916,0.404155041,5.532461368,19.68147508,-0.084469855,5.968075326,22.2435533,-0.132723359,6.237104646,23.1344381,-0.076337941,6.052482913,22.41172748
3.8,1,88.0881,6.2858,0.6747,11,69.9022,5.5639,-0.1336,24,55.091,6.0519,-0.3596,44,43.3476,6.0243,-0.0841,55,33.7148,6.4931,-0.5808,54,24.2351,6.0249,-0.5731,-0.471989189,-0.022951782,6.038675395,43.88033374,0.037755091,5.703503041,31.40536316,-0.116202191,6.141352323,33.50381042,6,5.955555556,-0.222222222,32.86249333,6.003313597,5.87,-0.284505853,33.85321431,-0.1,32.53616,0.415571244,5.574018493,20.23679907,-0.083872316,5.959688095,22.83994148,-0.139998664,6.22310478,23.75744857,-0.083238291,6.044159084,23.01655958
3.9,1,88.72,6.3533,0.7315,11,70.4579,5.5495,-0.182,24,55.6944,6.016,-0.3434,44,43.9496,6.0152,-0.1609,55,34.3612,6.4351,-0.5234,54,24.8347,5.9675,-0.59,-0.484789082,-0.085576594,6.030117736,44.48334551,0.04185045,5.70727855,31.97609102,-0.118062346,6.129732104,34.11678363,6,5.933333333,-0.222222222,33.45582667,5.974863012,5.86,-0.280393204,34.45070061,-0.1,33.12216,0.426339617,5.616652454,20.79633262,-0.083379881,5.951350106,23.43549339,-0.146919971,6.208412782,24.37902445,-0.089808337,6.03517825,23.62052644
4,1,89.359,6.4256,0.746,11,71.012,5.5317,-0.209,24,56.2942,5.9819,-0.3251,44,44.5503,6.0001,-0.1918,55,35.0021,6.3842,-0.4446,54,25.4284,5.9077,-0.6358,-0.492899078,-0.148081213,6.015309614,45.08487647,0.044124994,5.711463595,32.54723738,-0.123884327,6.117925869,34.72857622,6,5.911111111,-0.222222222,34.04693778,5.946823691,5.85,-0.276280556,35.04538298,-0.2,33.70716,0.436484652,5.660300919,21.36018028,-0.082983147,5.943051792,24.03021348,-0.153506102,6.193062172,24.99909819,-0.096064267,6.025571823,24.22356395
4.1,1,90.0053,6.5013,0.7716,11,71.5642,5.513,-0.1502,24,56.8908,5.9493,-0.3128,44,45.1493,5.9793,-0.2457,55,35.6384,6.341,-0.409,54,26.016,5.8428,-0.6968,-0.493619961,-0.149463952,6.000363219,45.6849128,0.044122351,5.715876095,33.11882499,-0.133927456,6.105537436,35.33912996,6,5.888888889,-0.222222222,34.63582667,5.919195636,5.83,-0.272167908,35.63730255,-0.25,34.29016,0.449529559,5.705253875,21.92845802,-0.088467759,5.934205016,24.62407632,-0.159774987,6.177084674,25.61760554,-0.102021629,6.01536966,24.82561102
4.2,1,90.6593,6.5786,0.7785,11,72.1147,5.4964,-0.1219,24,57.4842,5.9178,-0.2999,44,45.746,5.9544,-0.2768,55,36.2706,6.303,-0.3752,54,26.5968,5.7732,-0.7303,-0.487163461,-0.227386475,5.977624572,46.28267525,0.042887256,5.72028833,33.69085382,-0.145623409,6.092144691,35.94834443,6,5.866666667,-0.222222222,35.22249333,5.891978845,5.805,-0.272167908,36.22650043,-0.25,34.87066,0.463622372,5.751616113,22.50130152,-0.096602842,5.924544732,25.21701381,-0.16501742,6.160582932,26.23448892,-0.107695329,6.004600127,25.42660951
4.3,1,91.321,6.6559,0.7714,11,72.6637,5.4839,-0.0827,24,58.0744,5.8875,-0.2879,44,46.3401,5.9275,-0.2895,55,36.899,6.2657,-0.394,54,27.1705,5.7022,-0.7058,-0.475485176,-0.236290112,5.953995561,46.87807481,0.04120989,5.724577055,34.26331153,-0.157017006,6.07758235,36.55610267,6,5.844444444,-0.222222222,35.80693778,5.864762054,5.78,-0.272167908,36.81297664,-0.25,35.44866,0.476985651,5.799314678,23.07884806,-0.104331668,5.914111565,25.80894662,-0.170018123,6.143581119,26.84969712,-0.113099629,5.993290165,26.02650403
